hostname,socks5_hostname,socks5_endpoint,city,country,provider,ipv4,ipv6
us-mkc-wg-001,us-mkc-wg-socks5-001,us-mkc-wg-socks5-001.relays.mullvad.net:1080,"Kansas City, MO",USA,Tzulo,23.234.116.3,2607:9000:e00:2::f001
us-mkc-wg-002,us-mkc-wg-socks5-002,us-mkc-wg-socks5-002.relays.mullvad.net:1080,"Kansas City, MO",USA,Tzulo,23.234.116.127,2607:9000:e00:3::f001
us-mkc-wg-003,us-mkc-wg-socks5-003,us-mkc-wg-socks5-003.relays.mullvad.net:1080,"Kansas City, MO",USA,Tzulo,23.234.117.3,2607:9000:e00:4::f001
us-mkc-wg-004,us-mkc-wg-socks5-004,us-mkc-wg-socks5-004.relays.mullvad.net:1080,"Kansas City, MO",USA,Tzulo,23.234.117.127,2607:9000:e00:5::f001
us-mkc-wg-005,us-mkc-wg-socks5-005,us-mkc-wg-socks5-005.relays.mullvad.net:1080,"Kansas City, MO",USA,Tzulo,23.234.118.3,2607:9000:e00:6::f001
us-mkc-wg-006,us-mkc-wg-socks5-006,us-mkc-wg-socks5-006.relays.mullvad.net:1080,"Kansas City, MO",USA,Tzulo,23.234.118.127,2607:9000:e00:7::f001
us-mkc-wg-007,us-mkc-wg-socks5-007,us-mkc-wg-socks5-007.relays.mullvad.net:1080,"Kansas City, MO",USA,Tzulo,23.234.119.3,2607:9000:e00:8::f001
us-mkc-wg-008,us-mkc-wg-socks5-008,us-mkc-wg-socks5-008.relays.mullvad.net:1080,"Kansas City, MO",USA,Tzulo,23.234.119.127,2607:9000:e00:9::f001
us-mkc-wg-101,us-mkc-wg-socks5-101,us-mkc-wg-socks5-101.relays.mullvad.net:1080,"Kansas City, MO",USA,hostuniversal,155.2.191.3,2602:fed2:7e0a::f001
us-mkc-wg-102,us-mkc-wg-socks5-102,us-mkc-wg-socks5-102.relays.mullvad.net:1080,"Kansas City, MO",USA,hostuniversal,155.2.191.53,2602:fed2:7e0a::f101
us-mkc-wg-103,us-mkc-wg-socks5-103,us-mkc-wg-socks5-103.relays.mullvad.net:1080,"Kansas City, MO",USA,hostuniversal,155.2.191.103,2602:fed2:7e0a::f201
us-mkc-wg-104,us-mkc-wg-socks5-104,us-mkc-wg-socks5-104.relays.mullvad.net:1080,"Kansas City, MO",USA,hostuniversal,155.2.191.153,2602:fed2:7e0a::f301
us-mkc-wg-105,us-mkc-wg-socks5-105,us-mkc-wg-socks5-105.relays.mullvad.net:1080,"Kansas City, MO",USA,hostuniversal,155.2.191.203,2602:fed2:7e0a::f401
us-lax-wg-203,us-lax-wg-socks5-203,us-lax-wg-socks5-203.relays.mullvad.net:1080,"Los Angeles, CA",USA,DataPacket,169.150.203.28,2a02:6ea0:c859:3::a03f
us-lax-wg-407,us-lax-wg-socks5-407,us-lax-wg-socks5-407.relays.mullvad.net:1080,"Los Angeles, CA",USA,M247,146.70.172.66,2a0d:5600:8:38::f001
us-lax-wg-408,us-lax-wg-socks5-408,us-lax-wg-socks5-408.relays.mullvad.net:1080,"Los Angeles, CA",USA,M247,146.70.172.130,2a0d:5600:8:39::f001
us-lax-wg-409,us-lax-wg-socks5-409,us-lax-wg-socks5-409.relays.mullvad.net:1080,"Los Angeles, CA",USA,M247,146.70.172.194,2a0d:5600:8:3a::f001
us-lax-wg-601,us-lax-wg-socks5-601,us-lax-wg-socks5-601.relays.mullvad.net:1080,"Los Angeles, CA",USA,xtom,23.162.40.3,2602:fa19::f001
us-lax-wg-602,us-lax-wg-socks5-602,us-lax-wg-socks5-602.relays.mullvad.net:1080,"Los Angeles, CA",USA,xtom,23.162.40.127,2602:fa19::f101
us-lax-wg-603,us-lax-wg-socks5-603,us-lax-wg-socks5-603.relays.mullvad.net:1080,"Los Angeles, CA",USA,xtom,23.159.216.3,2602:fa47::f001
us-lax-wg-604,us-lax-wg-socks5-604,us-lax-wg-socks5-604.relays.mullvad.net:1080,"Los Angeles, CA",USA,xtom,23.159.216.127,2602:fa47::f101
us-lax-wg-605,us-lax-wg-socks5-605,us-lax-wg-socks5-605.relays.mullvad.net:1080,"Los Angeles, CA",USA,xtom,23.160.24.3,2602:fa45::f001
us-lax-wg-606,us-lax-wg-socks5-606,us-lax-wg-socks5-606.relays.mullvad.net:1080,"Los Angeles, CA",USA,xtom,23.160.24.127,2602:fa45::f101
us-lax-wg-607,us-lax-wg-socks5-607,us-lax-wg-socks5-607.relays.mullvad.net:1080,"Los Angeles, CA",USA,xtom,23.168.216.3,2602:f99d::f001
us-lax-wg-608,us-lax-wg-socks5-608,us-lax-wg-socks5-608.relays.mullvad.net:1080,"Los Angeles, CA",USA,xtom,23.168.216.127,2602:f99d::f101
